"Stock Number","Status","Full VIN","Car Color","Year","Asking","Required Down","Condition","Payments","Interest Rate","Payment","Make","Model","Type","Body Type","Trim","gvw","Cycles","Fuel Type","SiriusXM","Features","Mileage","Days in Inventory","Transmission Type","Logo","Level"
"1011RRR","GREEN TAG","JTDBE32K620003210","WHITE","2002","5999","395","Budget Blvd","78","19.9%","""=PMT(J2/26,I2,H2)""","TOYOTA","CAMRY","PASSENGER CAR","4 DOOR SEDAN","","0","L4, 2.4L; DOHC","GASOLINE","False","","205930","54","5SPD STANDARD","1783","Blue"
"1808R","GREEN TAG","3C4FY58834T218856","BLACK","2004","7999","395","Budget Blvd","78","19.9%","""=PMT(J2/26,I2,H2)""","CHRYSLER","PT CRUISER","MULTIPURPOSE VEHICLE (MPV)","4 DOOR WAGON","","0","L4, 2.4L; DOHC 16V; TURBO","GASOLINE","False","","80061","96","AUTOMATIC","1783","Blue"
"2315R","GREEN TAG","1G1AK15F967835279","SILVER","2006","11999","399","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","CHEVROLET","COBALT","PASSENGER CAR","COUPE","","0","L4, 2.2L; DOHC","GASOLINE","False","","96329","82","AUTOMATIC","1781","False"
"2414AR","GREEN TAG","1NXBR32E06Z589038","GOLD","2006","5999","395","Budget Blvd","78","19.9%","""=PMT(J2/26,I2,H2)""","TOYOTA","COROLLA","PASSENGER CAR","4 DOOR SEDAN","","0","L4, 1.8L; EFI","GASOLINE","False","","189735","40","AUTOMATIC","1783","Blue"
"2565R","GREEN TAG","2G4WD532351279170","GREY","2005","11999","399","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","BUICK","LACROSSE","PASSENGER CAR","4 DR","","0","V6, 3.8L","GASOLINE","False","","108764","145","AUTOMATIC","1781","False"
"2776R","GREEN TAG","1G2ZH17N284200409","BLUE","2008","13999","399","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","PONTIAC","G6","PASSENGER CAR","2 DOOR COUPE","","0","V6, 3.5L; SFI","GASOLINE","True","","75840","41","AUTOMATIC","1781","False"
"2793R","GREEN TAG","5NPEU46F57H184331","SILVER","2007","12999","399","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","HYUNDAI","SONATA","PASSENGER CAR","4 DOOR SEDAN","","0","V6, 3.3L","GASOLINE","False","","136674","103","AUTOMATIC","1781","False"
"2824R","GREEN TAG","1G2AL18H697132720","GRAY","2009","12999","399","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","PONTIAC","G5","PASSENGER CAR","2 DOOR COUPE (N)","","0","L4, 2.2L","GASOLINE","True","","96801","61","5 SPEED MANUAL","1781","False"
"2888R","GREEN TAG","1G8AJ55F16Z197559","GREEN","2006","8999","395","Budget Blvd","78","19.9%","""=PMT(J2/26,I2,H2)""","SATURN","ION","PASSENGER CAR","4 DOOR SEDAN","","0","L4, 2.2L; DOHC 16V","GASOLINE","False","","103768","40","5 SPEED AUTOMATIC","1783","Blue"
"3004A","GREEN TAG","3N1CB51D04L822220","MAROON","2004","6999","395","Budget Blvd","78","19.9%","""=PMT(J2/26,I2,H2)""","NISSAN","SENTRA","PASSENGER CAR","4 DOOR (N)","","0","L4, 1.8L","GASOLINE","False","","145182","118","AUTOMATIC","1783","Blue"
