Stock Number,Status,Full VIN,Car Color,Year,Asking,Required Down,Condition,Payments,Interest Rate,Payment,Make,Model,Type,Body Type,Trim,gvw,Cycles,Fuel Type,SiriusXM,Features,Mileage,Days in Inventory,Transmission Type,,Logo
1011RRR,GREEN TAG,JTDBE32K620003210,WHITE,2002,5999,395,Budget Blvd,78,19.90%,$102.42 ,TOYOTA,CAMRY,PASSENGER CAR,4 DOOR SEDAN,,0,"L4, 2.4L; DOHC",GASOLINE,FALSE,,205930,51,5SPD STANDARD,,1783
1808R,GREEN TAG,3C4FY58834T218856,BLACK,2004,7999,395,Budget Blvd,78,19.90%,$136.57 ,CHRYSLER,PT CRUISER,MULTIPURPOSE VEHICLE (MPV),4 DOOR WAGON,,0,"L4, 2.4L; DOHC 16V; TURBO",GASOLINE,FALSE,,80061,93,AUTOMATIC,,1783
2315R,GREEN TAG,1G1AK15F967835279,SILVER,2006,11999,399,RWB Certified,91,19.90%,$183.55 ,CHEVROLET,COBALT,PASSENGER CAR,COUPE,,0,"L4, 2.2L; DOHC",GASOLINE,FALSE,,96329,79,AUTOMATIC,,1781
2414AR,GREEN TAG,1NXBR32E06Z589038,GOLD,2006,5999,395,Budget Blvd,78,19.90%,$102.42 ,TOYOTA,COROLLA,PASSENGER CAR,4 DOOR SEDAN,,0,"L4, 1.8L; EFI",GASOLINE,FALSE,,189735,37,AUTOMATIC,,1783
2513R,GREEN TAG,4T1BF30K32U033222,SILVER,2002,7999,395,Budget Blvd,78,19.90%,$136.57 ,TOYOTA,CAMRY,PASSENGER CAR,4 DOOR SEDAN,,0,"V6, 3.0L; DOHC",GASOLINE,FALSE,,208793,51,AUTOMATIC,,1783
2565R,GREEN TAG,2G4WD532351279170,GREY,2005,11999,399,RWB Certified,91,19.90%,$183.55 ,BUICK,LACROSSE,PASSENGER CAR,4 DR,,0,"V6, 3.8L",GASOLINE,FALSE,,108764,142,AUTOMATIC,,1781
2776R,GREEN TAG,1G2ZH17N284200409,BLUE,2008,13999,399,RWB Certified,91,19.90%,$214.14 ,PONTIAC,G6,PASSENGER CAR,2 DOOR COUPE,,0,"V6, 3.5L; SFI",GASOLINE,TRUE,,75840,38,AUTOMATIC,,1781
2793R,GREEN TAG,5NPEU46F57H184331,SILVER,2007,12999,399,RWB Certified,91,19.90%,$198.85 ,HYUNDAI,SONATA,PASSENGER CAR,4 DOOR SEDAN,,0,"V6, 3.3L",GASOLINE,FALSE,,136674,100,AUTOMATIC,,1781
2824R,GREEN TAG,1G2AL18H697132720,GRAY,2009,12999,399,RWB Certified,91,19.90%,$198.85 ,PONTIAC,G5,PASSENGER CAR,2 DOOR COUPE (N),,0,"L4, 2.2L",GASOLINE,TRUE,,96801,58,5 SPEED MANUAL,,1781
2888R,GREEN TAG,1G8AJ55F16Z197559,GREEN,2006,8999,395,Budget Blvd,78,19.90%,$153.64 ,SATURN,ION,PASSENGER CAR,4 DOOR SEDAN,,0,"L4, 2.2L; DOHC 16V",GASOLINE,FALSE,,103768,37,5 SPEED AUTOMATIC,,1783
3004A,GREEN TAG,3N1CB51D04L822220,MAROON,2004,6999,395,Budget Blvd,78,19.90%,$119.50 ,NISSAN,SENTRA,PASSENGER CAR,4 DOOR (N),,0,"L4, 1.8L",GASOLINE,FALSE,,145182,115,AUTOMATIC,,1783
3049,GREEN TAG,5J6RE4H52BL094720,RED,2011,16999,999,RWB Certified,104,19.90%,$237.64 ,HONDA,CR-V,MULTIPURPOSE VEHICLE (MPV),4 DOOR WAGON,,0,"L4, 2.4L",GASOLINE,FALSE,,107484,164,5 SPEED AUTOMATIC,,1781
3066A,GREEN TAG,1B3ES56C22D632672,SILVER,2002,5999,395,Budget Blvd,78,19.90%,$102.42 ,DODGE,NEON,PASSENGER CAR,4 DOOR SEDAN,,0,"L4, 2.0L; SOHC 16V",GASOLINE,FALSE,,179558,123,AUTOMATIC,,1783
