Stock Number,Status,Condition,Certified Logo,Full VIN,Car Color,Year, Asking ,Required Down,Term,Payments,Payment,Rate,Make,Model,Type,Body Type,Trim,Cycles,Fuel Type, Mileage ,Days in Inventory,Transmission Type
1011RRR,GREEN TAG,Budget Blvd,2511,JTDBE32K620003210,WHITE,2002,"5,999.00",395,3,78,$102.42 ,19.90%,TOYOTA,CAMRY,PASSENGER CAR,4 DOOR SEDAN,,"L4, 2.4L; DOHC",GASOLINE,"205,930",50,5SPD STANDARD
1808R,GREEN TAG,Budget Blvd,2511,3C4FY58834T218856,BLACK,2004,"7,999.00",395,3,78,$136.57 ,19.90%,CHRYSLER,PT CRUISER,MULTIPURPOSE VEHICLE (MPV),4 DOOR WAGON,,"L4, 2.4L; DOHC 16V; TURBO",GASOLINE,"80,061",92,AUTOMATIC
2315R,GREEN TAG,RWB Certified,1445,1G1AK15F967835279,SILVER,2006,"11,999.00",399,3.5,91,$183.55 ,19.90%,CHEVROLET,COBALT,PASSENGER CAR,COUPE,,"L4, 2.2L; DOHC",GASOLINE,"96,329",78,AUTOMATIC
2414AR,GREEN TAG,Budget Blvd,2511,1NXBR32E06Z589038,GOLD,2006,"5,999.00",395,3,78,$102.42 ,19.90%,TOYOTA,COROLLA,PASSENGER CAR,4 DOOR SEDAN,,"L4, 1.8L; EFI",GASOLINE,"189,735",36,AUTOMATIC
2513R,GREEN TAG,Budget Blvd,2511,4T1BF30K32U033222,SILVER,2002,"7,999.00",395,3,78,$136.57 ,19.90%,TOYOTA,CAMRY,PASSENGER CAR,4 DOOR SEDAN,,"V6, 3.0L; DOHC",GASOLINE,"208,793",50,AUTOMATIC
2565R,GREEN TAG,RWB Certified,1445,2G4WD532351279170,GREY,2005,"11,999.00",399,3.5,91,$183.55 ,19.90%,BUICK,LACROSSE,PASSENGER CAR,4 DR,,"V6, 3.8L",GASOLINE,"108,764",141,AUTOMATIC
2776R,GREEN TAG,RWB Certified,1445,1G2ZH17N284200409,BLUE,2008,"13,999.00",399,3.5,91,$214.14 ,19.90%,PONTIAC,G6,PASSENGER CAR,2 DOOR COUPE,,"V6, 3.5L; SFI",GASOLINE,"75,840",37,AUTOMATIC
2793R,GREEN TAG,RWB Certified,1445,5NPEU46F57H184331,SILVER,2007,"12,999.00",399,3.5,91,$198.85 ,19.90%,HYUNDAI,SONATA,PASSENGER CAR,4 DOOR SEDAN,,"V6, 3.3L",GASOLINE,"136,674",99,AUTOMATIC
2824R,GREEN TAG,RWB Certified,1445,1G2AL18H697132720,GRAY,2009,"12,999.00",399,3.5,91,$198.85 ,19.90%,PONTIAC,G5,PASSENGER CAR,2 DOOR COUPE (N),,"L4, 2.2L",GASOLINE,"96,801",57,5 SPEED MANUAL
2888R,GREEN TAG,Budget Blvd,2511,1G8AJ55F16Z197559,GREEN,2006,"8,999.00",395,3,78,$153.64 ,19.90%,SATURN,ION,PASSENGER CAR,4 DOOR SEDAN,,"L4, 2.2L; DOHC 16V",GASOLINE,"103,768",36,5 SPEED AUTOMATIC
